Model,Price,Description 2,Description,City,District,Region
Продажа iPhone 12 64GB,125 000 тг.,"['Бизнес', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 64 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.5""-5""', 'Состояние: Б/у']","Radjabov Mobile
iPhone 12 Pro 64GB
Состояние 10/10
Комплект : есть
Гарантия ; до 3 месяцев
Instagram : Radjabov_Mobile
Рассрочки нету !!

Мы находимся по адресу торговый дом ЦУМ 0 этаж J001
Контакт 87******563","Караганда, Казыбекбийский район",Казыбекбийский район,Карагандинская область
Iphone 14 128 g,310 000 тг.,"['Частное лицо', 'Марка телефона: Другая марка', 'Операционная система: Windows Phone', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']",состояние жаксы. ремонт кормеген. батарейка 78% каропка док,"Кентау,",,Туркестанская область
Продается iphone 12 pro max 128 gb,180 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продается iphone 12 pro max
Память 128 gb. Состояние идеальное, имеется коробка и оригинальное зарядное устройство. В комплекте защитное стекло, и 4 чехла. В ремонте не был, не вскрывался. Без царапин и без сколов. Емкость аккумулятора 86 %
Есть торг реальному покупателю","Атырау, Авангард",Авангард,Атырауская область
Iphone 13 pro max,200 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 512 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продам айфон 13 про мах, 512 Гб
Аккумулятор 85%
Корпус экран целый
Коробка все есть !
Нужно починить модем, узнавал ремонт стоит (60-70к)
Включается иногда выключается, нужно починить.
Не хочу чинить потому что хочу купить новую модель
Договоримся","Туздыбастау,",,Алматинская область
Iphone 12 pro max,180 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.5""-5""', 'Состояние: Б/у']",Состояние нормвложение не требует,"Астана, Алматинский район",Алматинский район,Акмолинская область
Apple iPhone 15 Pro Max Dual Sim 256Gb Natural Titanium Акция в алматы,560 000 тг.,"['Бизнес', 'В рассрочку: Все объявления, Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб, 512 Гб, 1024 Гб, другое', 'Кол-во сим карт: 1 сим-карта, 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","Акция Распродажа Смартфонов Apple iPhone 15 PRO MAX 256gb, 512gb и 1tb, в магазине Mtel kz
Внимание ЦЕНА указана От 560000 Тенге ТОЛЬКО за НАЛИЧНЫЙ расчет!
- В Н И М А Н И Е !!! Нас копируют многие !!! Мы ни каких пред-оплат не берем!!!
- Iphone 15 Pro Max 256gb ОТ 560000 тенге,
- Iphone 15 Pro Max 512gb От 630000 тенге,
- Iphone 15 Pro Max 1Tb От 735000 тенге.
-- А К Ц И Я -- Внимание ЦЕНА для тех кто отправит СКРИН на указанный номер
Цены могут меняться!!! -- Уточняйте ЦЕНЫ есть все модели
В Н И М А Н И Е !!! Читайте до конца! КОЛИЧЕСТВО ОГРАНИЧЕНО Акция Кто успел тот успел с 10:30 до 19:30ч. Такого ещё не было ( УБЕДИТЕЛЬНО Просим Вас Отправьте скрин или позвоните Цену зафиксируем так КАК в ЗАЛЕ ФИКСИРОВАННАЯ ЦЕНА ни кто кроме Нас не может Вам продать ниже фиксированной ЦЕНЫ)
Абылайхана 62, ТД ""ЦУМ"", 2-Этаж, Сектор 32, ( Бутик Mtel kz )
(Ориентир Синяя вывеска с Жёлтыми Буквами (Рядом с Уборной 2- Этажа))
- - - Доставка по Алматы и по РК - ЕСТЬ Платная.
ЦЕНЫ меняются как на понижение так и на ПОВЫШЕНИЕ (Менять ЦЕНЫ не УСПЕВАЕМ).
Резерв Строго по переписке WhatsApp. Без звонка или скрина можете не приходить. Самые низкие цены Гарантируем. Звоните уточняйте ЦЕНЫ и Резервируйте. 1 год ГАРАНТИЯ.
РАСРОЧКА рассматривается только на месте у нас в магазине и ЦЕНА меняется на повышение!!! Убедительная просьба Звоните ( Пишите ) Уточняйте Цены и ЗАРАНЕЕ ставьте РЕЗЕРВ!!!
А так же есть все Другие модели смартфонов Звоните уточняйте наличие и резервируйте. Цены По Факту Самые низкие,
Ставите Резерв и на Вас стоит Резерв. Приходите оплачивайте только по факту получения товара.
Смотрите все наши объявления, Поставьте в избранные. Звоните или пишите на вотсап, здесь ответить на сообщение не успеваем Спасибо за понимание.

Всем Удачной покупки и приятного пользования! С/у Mtel kz
Абылайхана 62, ТД ""ЦУМ"",
2-Этаж, Сектор 32, ( Бутик Mtel kz )
(Ориентир Синяя вывеска с Жёлтыми Буквами (Рядом с Уборной 2- Этажа))
Гарантируем Самые Низкие ЦЕНЫ по г. Алматы На любой СМАРТФОН","Алматы, Алмалинский район",Алмалинский район,Алматинская область
Iphone 12 Айфон 12,150 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']",Айфон 12 (128 гб) отличному состоянии. Торг есть,"Тараз, 11-мкр. Жансая",11-мкр. Жансая,Жамбылская область
Iphone 13 pro max,130 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: Android', 'Диагональ экрана: 5.55""-6""', 'Состояние: Новый']","новый Iphone 13 pro max 256 gb Китайский версиясы сатылады. бағасы 130 мың теңге, бағасын келісуге болады","Атырау, Авангард",Авангард,Атырауская область
Продажа IPHONE 15 Pro 256Gb,415 000 тг.,"['Бизнес', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']","Radjabov Mobile
iPhone 15 Pro 256
Состояние 10/10
Комплект : есть
Гарантия ; до 3 месяцев
Instagram : Radjabov_Mobile
Рассрочки нету !!

Мы находимся по адресу торговый дом ЦУМ 0 этаж J001
Контакт 87******563","Нуркен,",,Карагандинская область
IPhone 15 pro 96 ёмкость,420 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']",Саламатсыздарма iPhone 15pro сатылады 96 ёмкость почти новый,"Туркестан,",,Туркестанская область
Iphone 13 Pro 1 TB,320 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 1024 Гб', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']","Продам , состояние огонь , был куплен в марте 2023 года за 720000 тенге , чек есть , батарея 87% , без ремонта , полностью рабочий , обмен только на деньги , торга нет , самый дешевый терабайт в Казахстане .","Актау, 13",13,Мангистауская область
Iphone 13 128GB идеальный,175 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']",Продам айфон 13 128гб состояние идеальный акб 80% нету царапин или сколов пользовался отец,"Байсерке,",,Алматинская область
Vivo V23 5G обмен на iPhone,200 000 тг.,"['Частное лицо', 'Марка телефона: VIVO', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 2 сим-карты', 'Операционная система: Другая', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","Телефон в отличном состоянии.
12/256гб. Тянет любую программу и игру. Зарядка 44w.

Батарейка 4100 ма/ч держится полный день при активном использовании. 5G ловить.
Покупал за 300 000тг. Обмен на айфон возможно с моей доплатой.","Усть-Каменогорск, 45-я аптека",45-я аптека,Восточно-Казахстанская область
,,[],,,,
Срочно продам iphone 14 pro max,400 000 тг.,"['Бизнес', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.5""-5""', 'Состояние: Б/у']","Продам iPhone 14 Pro Max, белый на 128 gb!
Пользовалась девушка, состояние супер! Зарядка, коробка, состояние аккумулятора 89%","Алматы, Бостандыкский район",Бостандыкский район,Алматинская область
iPhone 14 pro 128 gray,300 000 тг.,"['Бизнес', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Телефон в идеальном состояний, пару царапин на корпусе. Никогда не вскрывался, один хозяйн. В комплекте коробка, шнур. Символический торг
Емкость 83%","Алматы, Наурызбайский район",Наурызбайский район,Алматинская область
Iphone 13 128 gb розовый,250 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","Состояние 10 из 10. Батарея - 97%
Комплект полный.","Петропавловск,",,Северо-Казахстанская область
IPhone 14 сатылады.,260 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.1""-4.5""', 'Состояние: Б/у']","Айфон 14, 128 гб, сапасы өте жақсы. Екі чехолы, зарядкасы бар. Почти новый, 3 ай ұсталған. Торг бар.","Уральск, КазИИТУ",КазИИТУ,Западно-Казахстанская область
IPhone 12 128Гб,135 000 тг.,"['Частное лицо', 'В рассрочку: Нет, Все объявления', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продам IPhone 12 128Гб. В отличном состоянии. В комплекте коробка , зарядка , чехлы в подарок ,смартфон без повреждений и без царапин , аккумулятор 81% . Пользовались очень аккуратно и бережно. Обмен не интересует . Только продажа .Тел: 77******068.","Чапаево,",,Карагандинская область
Apple iPhone 13 256gb white,190 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","iPhone 13 256gb
Цвет: WHITE
АКБ-78%
Полный комплект.
Состояние идеальное. Без царапин. Экран в идеале.
Без царапин.
Поддержка e-Sim
Все работает. В ремонте никогда не был.
Комплект. Шнур родной, коробка
Ходила девушка с телефоном .","Астана, Есильский район",Есильский район,Акмолинская область
Продаю iphone 13 128,190 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продаю айфон 13 на 128 гб
Процент батареи 82%
Единственное есть две царапины у камеры, но все работает","Алматы, Бостандыкский район",Бостандыкский район,Алматинская область
iPhone 14 pro Max,350 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","256 gb
Аккумулятор 86%
На ремонте не был
Не вскрывался
Цена окончательная","Астана, Есильский район",Есильский район,Акмолинская область
Apple Iphone 14,265 000 тг.,"['Частное лицо', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","iPhone 14
100% емкость
Без зарядного шнура
В отличном состоянии","Акбулак,",,Карагандинская область
Iphone 13 128 гб,260 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Новый']","Емкость 100% документ бәрі түгел
Ватсапка шығамз","Аральск,",,Кызылординская область
Iphone 12 Pro Max 128 gb,300 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","IPhone 12 pro max, 128 gb золотой цвет.
Телефон в идеальном состоянии. Все родное, ничего не меняли, не роняли, не ломали. Нет никаких сколов и царапин. Носили в чехле, на дисплее стекло.
Заряд батарии 87%. Оригинальный юзб шнур имеется, коробка тоже. Покупали в Алматы, в Сулпак. Пользовались год. К телефону отдам 8 чехлов.
Обмен не интересует","Алматы, Алмалинский район",Алмалинский район,Алматинская область
iPhone 12 Pro Max 128GB Белый,350 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']",В хорошем состоянии . Все работает . Коробка документы имеются . Состояние аккумулятора 88%. Причина продажи покупка новой модели. С продажей не тороплюсь. Торг минимальный,"Нура,",,Актюбинская область
iPhone 11 Pro с горонтией,220 000 тг.,"['Частное лицо', 'В рассрочку: Все объявления', 'Марка телефона: Apple', 'Объем встроенной памяти: 64 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.5""-5""', 'Состояние: Б/у']","Продам айфон 11 про сост идеал минус нет вообще. Ёмкость аккумулятора 76%
Документ есть","Уральск, Микрорайон 4",Микрорайон 4,Западно-Казахстанская область
Iphone 15 память 128гб,325 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","Iphone 15
Память:128гб
Запечатанный
1жыл гарантия береміз
Чехол сыйлыққа
1жыл бойы тегін стекло
Ұтысты ойынға қатыса аласыз","Актау,",,Западно-Казахстанская область
"Iphone 12 , 128 gb",139 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","В хорошем состоянии. Всё в оригинале, ни разу не вскрывали телефон. Батарея 77%. Телефон был в одних руках, один хозяин . Все четко работает.
Торг в пределах разумного.","Жезказган,",,Карагандинская область
IPhone 13 256GB продам,170 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 4 Гб', 'Кол-во сим карт: 2 сим-карты, 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.5""-5""', 'Состояние: Б/у']","Идеальный вариант 170мыңға аласың кетесің минус жоқ ремонт көрмеген жаз, хабарлас кутеп","Алматы, Медеуский район",Медеуский район,Алматинская область
Iphone 13 pro max 512 gb,270 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 512 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']",Имеются царапины на рамке телефона от чехлов,"Акбулак,",,Карагандинская область
Iphone 15pro 256gb,550 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']",Ёмкость 100% на ремонте не было купил за 660 000тг продам за 550 000 тг другие вопросы по телефону,"Усть-Каменогорск, 45-я аптека",45-я аптека,Восточно-Казахстанская область
Iphone 12 pro 256gb,180 000 тг.,"['Бизнес', 'Марка телефона: Apple', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","В наличии iPhone 12 про
Состояние 10/10
Комплект коробка и зарядка
Гарантия месяц
Акб 80
ЦУМ 027 ряд Мустафа
Каспи рассрочка
Пишите инстаграм ISell.karaganda
Вацап пишите звоните 87******948
Так же имеется обмен","Караганда, Казыбекбийский район",Казыбекбийский район,Карагандинская область
"iPhone 13, Апорт Ломбард, Техника, Рассрочка",190 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","•Название: IPhone 13
•Комплектация: коробка
•Цвет:
•Состояние: 10/10
•Память: 128 гб
•Емкость аккумулятора: 88%
•Код товара: 155400

•Инстаграм: zoloto_tehnika_taraz
• Мы находимся по адресу Мкр Самал 14 ломбард Апорт
•Работаем каждый день без перерывов и выходных с 10:00 до 20:00
•Смотрите наши другие объявления, нажав на «Другие объявления»","Тараз, 7-мкр. Самал",7-мкр. Самал,Жамбылская область
iPhone 13 / 128gb / 86% Daemdengilombard/ Иляева 17,190 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","""Даём Деньги""
Аты: IPhone 13 / 128gb / 86%
Бағасы:190.000kzt
18.208х12 айға
Комплекті:Коробка
Жағдайы: 10/10

ҚР кез келген нүктесіне жеткізу

""""Даем Деньги"""" дүкенінде ең арзан бағадағы тауарлардың үлкен таңдауы!
Бізде сондай-ақ:
Kaspi Red
Kaspi Credit
Kaspi 12 айға бөліп төлеу жоспары

Мекен-жайы: Иляева 17
Жұмыс кестесі: 10:00 / 22:00
Байланыс тәсілдері (телефон нөмірі)"" : +7(************02
«Даём деньги»

Название: IPhone 13 / 128gb / 86%

Комплектация:Коробка Состояние: 10/10
Цена:190.000kzt

Предоставляем юридическую гарантию
_
Доставка в любую точку KZ
Рассрочка до 12 месяцев Kaspi, BCC, Halyk, Kaspi Red, Freedom

Магазин: Иляева 17
+7 *************02
с 10:00 до 22:00","Шымкент, Аль-Фарабийский район",Аль-Фарабийский район,Туркестанская область
iPhone 14 срочна продам с коропкой,290 000 тг.,"['Частное лицо', 'Марка телефона: Другая марка', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.5""-5""', 'Состояние: Б/у']",Жағдайы жақсы. Без сарапинь. Срочна продам,"Карла Маркса,",,Туркестанская область
"Iphone 13 pro max, 256GB. Айфон 13 про макс 256 гб",450 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","Айфон 13 про макс. Цвет- ЗОЛОТО , весь в стекле защитном. провода оригинал. коробка не тронутая.
примерно 10 чехлов цветных в подарок на любой вкус отдам.
батарея 85%. 256 гб память.
состояние 10/10
писать в ватсап","Нуркен,",,Карагандинская область
Смартфон Apple iPhone 15 Pro Max 256Gb,425 000 тг.,"['Бизнес', 'В рассрочку: Все объявления', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","ДОСТАВКА ПО ТЕРРИТОРИИ КАЗАХСТАНА БЕСПЛАТНО!!!
Тип
моноблок (классический)
4G (LTE).
Стандарт
GSM 85********00/1900, 3G, 4G LTE, 5G
Операционная система
iOS 17
SIM-карта
eSIM + eSIM
Материал
металл и стекло
Поддержка 5G
Технология NFC
Дисплей
Частота обновления экрана
120 Гц
Тип экрана
OLED, Super Retina XDR display
Диагональ
6.7 дюйм
Разрешение дисплея
2796x1290, 460 ppi
Автоматический поворот экрана
Да
Устойчивое к царапинам стекло
Да
Процессор и память
Размер оперативной памяти
8 ГБ
Процессор
6-ядерный Apple A17 Pro
Объем встроенной памяти
256.0 ГБ
Слот карт памяти
Нет
Фотокамера и мультимедиа
Количество мегапикселей основной фотокамеры
48.0 Мпикс
Фотокамера
48 Мп + 12 Мп + 12 Мп + 12 Мп, светодиодная вспышка
Видеосъемка
1920х1080 пикс 60 к/с, 3840х2160 пикс 60 к/с
Фронтальная камера
12 Мп
Форматы аудио
WAV, AAC, WMA, MP3, FLAC
Органайзер и другие функции
Датчики
компас, барометр, акселерометр, гироскоп, датчик приближения, датчик освещенности, распознавание лица
Режим полета
Да
Органайзер
будильник, календарь, калькулятор
Управление
голосовое управление, голосовой набор
Батарея и продолжительность разговора
Поддержка беспроводной зарядки
Да
Поддержка быстрой зарядки
Да
Тип аккумулятора
Li-ion
Емкость аккумулятора
4422.0 мАч
Время работы в режиме прослушивания музыки
80.0 ч
Вес и габариты
Габариты
76.7x159.9x8.25 мм
Вес
221.0 г
Особенности и дополнительная информация
Интерфейс
USB Type-C
Конструкция
водозащита, двойная камера, пылезащита
Особенности
степень защиты IP68
Комплектация
смартфон, кабель, инструкция","Акбулак,",,Карагандинская область
